category,subject,commission_cc_pct,commission_dbs_pct,commission_edbs_pct,commission_fbs_pct,commission_fbw_pct,commission_booking_pct
Отделочные материалы,Плитки для подвесного потолка,38.5,45.0,3.0,33.0,28.5,38.5
Красота,Соль для маникюра и педикюра,42.5,45.0,3.0,45.0,40.5,42.5
Одежда для малышей,Футболки для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Жилеты страховочные,37.5,45.0,3.0,37.0,32.5,37.5
Продукты,Печенье,4.5,4.5,3.0,35.0,30.5,4.5
Электрика,Реле напряжения,38.5,45.0,3.0,35.0,30.5,38.5
Белье,Соединители бретелей,44.5,45.0,3.0,41.0,36.5,44.5
Бытовая химия,Гели для стирки,39.5,45.0,3.0,38.0,33.5,39.5
Посуда и инвентарь,Коробки для десертов,39.5,45.0,3.0,43.0,38.5,39.5
Садовые инструменты и полив,Держатели для шланга,39.5,45.0,3.0,39.0,34.5,39.5
Автоаксессуары и дополнительное оборудование,Установки развала и схождения колёс,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Крестовины для авто,36.5,45.0,3.0,36.0,31.5,36.5
Продукты,Финики,4.5,4.5,3.0,35.0,30.5,4.5
Посуда и инвентарь,Мерные ложки,39.5,45.0,3.0,36.0,31.5,39.5
Спортивные аксессуары,Перчатки ММА,39.5,45.0,3.0,43.0,38.5,39.5
Игрушки,Лабиринты,38.5,45.0,3.0,38.0,33.5,38.5
Товары для животных,Будки для собак,31.5,35.0,3.0,34.0,29.5,31.5
Товары для животных,Скребки для аквариума,31.5,35.0,3.0,31.0,26.5,31.5
Бытовая химия,Средства для очистки сажи,39.5,45.0,3.0,43.0,38.5,39.5
Декор интерьера,Теплоувлажнители,39.5,45.0,3.0,33.0,28.5,39.5
Садовая техника,Мойки высокого давления,29.5,35.0,3.0,33.0,28.5,29.5
Спортивный товар,Рули велосипедные,37.5,45.0,3.0,41.0,36.5,37.5
Профессиональные музыкальные инструменты,Заглушающие кольца для барабанов,38.5,45.0,3.0,42.0,31.5,38.5
Продукты,Пряники,4.5,4.5,3.0,35.0,30.5,4.5
Посуда и инвентарь,Самовары,39.5,45.0,3.0,40.0,35.5,39.5
Аксессуары,Фиксаторы для очков,44.5,45.0,3.0,39.0,34.5,44.5
Продукты,Буженина,4.5,4.5,3.0,26.0,21.5,4.5
Продукты,Замороженное тесто,4.5,4.5,3.0,26.0,21.5,4.5
Одежда для малышей,Костюмы для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Велохимия,37.5,45.0,3.0,41.0,36.5,37.5
Автоаксессуары и дополнительное оборудование,Щетки автомобильные,36.5,45.0,3.0,36.0,31.5,36.5
Здоровье,Компрессионные рукава,42.5,45.0,3.0,45.0,40.5,42.5
Товары для животных,Боксы для рулеток,31.5,35.0,3.0,35.0,30.5,31.5
Автоаксессуары и дополнительное оборудование,Кофеварки автомобильные,36.5,45.0,3.0,40.0,35.5,36.5
Сантехника,Ручки для смесителей,37.5,45.0,3.0,41.0,36.5,37.5
Спортивная одежда,Рубашки спортивные,44.5,45.0,3.0,48.0,43.5,44.5
Автохимия и автокосметика,Лосьоны для кожи салона,36.5,45.0,3.0,36.0,31.5,36.5
Детское питание,Питание для кормящих и беременных,4.5,4.5,3.0,33.0,28.5,4.5
Товары для курения,Зажигалки,38.5,45.0,3.0,38.0,33.5,38.5
Канцелярские товары,Боксы для коллекционирования,39.5,45.0,3.0,37.0,32.5,39.5
Фото и Видеотехника,Кронштейны для видеотехники,38.5,45.0,3.0,41.5,37.0,38.5
Автозапчасти,Кольца поршневые,36.5,45.0,3.0,36.0,31.5,36.5
Садовые инструменты и полив,Обратные клапаны для насосов,39.5,45.0,3.0,43.0,38.5,39.5
Ручной инструмент и оснастка,Резчики швов,41.5,45.0,3.0,44.5,36.0,41.5
Декор интерьера,Рамы багетные,39.5,45.0,3.0,39.0,34.5,39.5
Спортивный товар,Палки для скандинавской ходьбы и треккинга,37.5,45.0,3.0,41.0,36.5,37.5
Автохимия и автокосметика,Клей автомобильный,36.5,45.0,3.0,36.0,31.5,36.5
Продукты,Молоко растительное,4.5,4.5,3.0,34.0,29.5,4.5
Ручной инструмент и оснастка,Люксметры,41.5,45.0,3.0,45.0,40.5,41.5
Спортивная одежда,Велочулки,44.5,45.0,3.0,48.0,43.5,44.5
Отделочные материалы,Листы пробковые,38.5,45.0,3.0,42.0,37.5,38.5
Автоаксессуары и дополнительное оборудование,Таксометры,36.5,45.0,3.0,35.5,31.0,36.5
Ювелирные украшения,Ювелирные ручки,43.0,45.0,3.0,43.0,42.0,43.0
Товары для животных,Распылители для аквариума,31.5,35.0,3.0,35.0,30.5,31.5
Продукты,Шницели,4.5,4.5,3.0,26.0,21.5,4.5
Бижутерия,Подвески бижутерные,38.5,45.0,3.0,42.0,37.5,38.5
Все для садоводства,Вермикулит,39.5,45.0,3.0,29.5,28.5,39.5
Спортивные аксессуары,Чехлы для велосипедов,39.5,45.0,3.0,43.0,38.5,39.5
Спортивный товар,Воланы,37.5,45.0,3.0,37.0,32.5,37.5
Канцелярские товары,Ножницы канцелярские,39.5,45.0,3.0,28.0,23.5,39.5
Рукоделие,Наборы для выжигания,39.5,45.0,3.0,43.0,38.5,39.5
Для праздника,Ленты упаковочные,42.5,45.0,3.0,34.0,29.5,42.5
Ручной инструмент и оснастка,Насадки для гравера,41.5,45.0,3.0,45.0,40.5,41.5
Товары для животных,Вилы для уборки,31.5,35.0,3.0,35.0,30.5,31.5
Белье для малышей,Термоводолазки для малышей,44.5,45.0,3.0,39.0,34.5,44.5
Спортивный товар,Держатели мячей,37.5,45.0,3.0,40.0,35.5,37.5
Спортивная одежда,Трико борцовское,44.5,45.0,3.0,44.0,39.5,44.5
Красота,Формы для наращивания ногтей,42.5,45.0,3.0,46.0,41.5,42.5
Аксессуары для электроники,Накладки на стики,44.5,45.0,3.0,34.0,29.5,44.5
Спортивная одежда,Шорты спортивные,44.5,45.0,3.0,48.0,43.5,44.5
Аксессуары для электроники,Платежные браслеты,42.5,45.0,3.0,35.0,30.5,42.5
Отделочные материалы,Стеклоблоки,38.5,45.0,3.0,32.0,27.5,38.5
Бижутерия,Колье,38.5,45.0,3.0,42.0,37.5,38.5
Хозяйственные товары,Держатели для туалетной бумаги,39.5,45.0,3.0,43.0,38.5,39.5
Спортивный товар,Выносы велосипедные,37.5,45.0,3.0,41.0,36.5,37.5
Фарма,Дерматологические препараты,3.0,3.0,3.0,3.0,3.0,3.0
Мототовары,Подставки для мотоциклов,36.5,45.0,3.0,39.5,35.0,36.5
Периферия и аксессуары,Коврики для мыши,34.5,35.0,3.0,35.0,30.5,34.5
Отделочные материалы,Плитка зеркальная,38.5,45.0,3.0,42.0,37.5,38.5
Сантехника,Люки канализационные,37.5,45.0,3.0,24.0,19.5,37.5
Красота,Краски для волос,42.5,45.0,3.0,46.0,41.5,42.5
Аксессуары для электроники,Кабели,44.5,45.0,3.0,43.0,38.5,44.5
Канцелярские товары,Конверты бумажные,39.5,45.0,3.0,43.0,38.5,39.5
Бытовая техника,Сушилки для одежды электрические,35.5,35.0,3.0,33.0,28.5,35.5
Декор интерьера,Декорации настенные для кухни,39.5,45.0,3.0,43.0,38.5,39.5
Мототовары,Буферы тележки снегохода,36.5,45.0,3.0,31.0,26.5,36.5
Автозапчасти,Двигатели стеклоочистителя,36.5,45.0,3.0,40.0,35.5,36.5
Спортивный товар,Аккумуляторы температуры,37.5,45.0,3.0,39.5,35.0,37.5
Спортивный товар,Конусы спортивные,37.5,45.0,3.0,38.0,33.5,37.5
Продукты,Красители пищевые,4.5,4.5,3.0,30.0,25.5,4.5
Книжная продукция и диски,Карты географические,39.5,45.0,3.0,39.0,34.5,39.5
Мебель офисная и торговое оборудование,Газлифты для офисных кресел,36.5,45.0,3.0,36.0,31.5,36.5
Спортивный товар,Коврики туристические,37.5,45.0,3.0,32.0,27.5,37.5
Спортивные аксессуары,Спортивные аксессуары,39.5,45.0,3.0,43.0,38.5,39.5
Все для садоводства,Вазоны,39.5,45.0,3.0,29.5,28.5,39.5
Спортивный товар,Жилеты спасательные,37.5,45.0,3.0,34.0,29.5,37.5
Декор интерьера,Бутылки сувенирные,39.5,45.0,3.0,36.0,31.5,39.5
Масла и технические жидкости,Промывки масляной системы,36.5,45.0,3.0,40.0,35.5,36.5
Здоровье,Полустельки ортопедические,42.5,45.0,3.0,45.0,40.5,42.5
Спортивный товар,Ботинки гравитационные,37.5,45.0,3.0,41.0,36.5,37.5
Автоаксессуары и дополнительное оборудование,Рейлинги,36.5,45.0,3.0,40.0,35.5,36.5
Автоаксессуары и дополнительное оборудование,Нагнетатели смазки,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Поршневые пальцы,36.5,45.0,3.0,40.0,35.5,36.5
Товары для животных,Отпугиватели собак,31.5,35.0,3.0,31.0,26.5,31.5
Рукоделие,Световые планшеты для рисования,39.5,45.0,3.0,43.0,38.5,39.5
Продукты,Биточки,4.5,4.5,3.0,26.0,21.5,4.5
Все для садоводства,Опоры для растений,39.5,45.0,3.0,38.5,37.5,39.5
Рукоделие,Заплатки,39.5,45.0,3.0,38.0,33.5,39.5
Аксессуары,Портфели,44.5,45.0,3.0,44.0,39.5,44.5
Спортивный товар,Корзины баскетбольные,37.5,45.0,3.0,36.0,31.5,37.5
Строительные материалы,Смеси М-150,38.5,45.0,3.0,29.5,25.0,38.5
Автозапчасти,Противотуманные фары,36.5,45.0,3.0,40.0,35.5,36.5
Спортивная одежда,Туники спортивные,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Прикормки для рыб,37.5,45.0,3.0,37.0,32.5,37.5
Хозяйственные товары,Пакеты упаковочные,39.5,45.0,3.0,42.0,37.5,39.5
Спортивный товар,Скейтборды,37.5,45.0,3.0,37.0,32.5,37.5
Аксессуары для электроники,Электроточилки,42.5,45.0,3.0,40.0,35.5,42.5
Детское питание,Чай детский,4.5,4.5,3.0,33.0,28.5,4.5
Товары для малышей,Молокоотсосы механические,36.5,45.0,3.0,40.0,35.5,36.5
Канцелярские товары,Настольные защитные экраны,39.5,45.0,3.0,30.0,25.5,39.5
Товары для отдыха и кемпинга,Мангалы,38.5,45.0,3.0,39.0,34.5,38.5
Телевизоры и аудиотехника,Проекторы,31.5,35.0,3.0,35.0,30.5,31.5
Ручной инструмент и оснастка,Насадки для УШМ,41.5,45.0,3.0,45.0,40.5,41.5
Текстиль для дома,Фиксаторы для одеяла,39.5,45.0,3.0,35.0,30.5,39.5
Спортивный товар,Колодки для дисковых тормозов,37.5,45.0,3.0,37.0,32.5,37.5
Товары для взрослых,Чокеры эротик,39.5,45.0,3.0,43.0,38.5,39.5
Ветаптека,Лечение ЖКТ и печени у животных,31.5,35.0,3.0,24.0,19.5,31.5
Игрушки,Игрушки сюрприз,38.5,45.0,3.0,42.0,37.5,38.5
Обувь,Валенки,44.5,45.0,3.0,38.0,33.5,44.5
Хозяйственные товары,Ведра хозяйственные,39.5,45.0,3.0,33.0,28.5,39.5
Аксессуары,Сумки хозяйственные,44.5,45.0,3.0,44.0,39.5,44.5
Спецодежда и СИЗы,Платья медицинские,44.5,45.0,3.0,48.0,43.5,44.5
Здоровье,ИВЛ-аппараты,35.5,45.0,3.0,39.0,34.5,35.5
Декор интерьера,Упоры поясничные,39.5,45.0,3.0,34.0,29.5,39.5
Ручной инструмент и оснастка,Ультразвуковые детекторы,41.5,45.0,3.0,45.0,40.5,41.5
Хозяйственные товары,Сушилки для белья,39.5,45.0,3.0,34.0,29.5,39.5
Ручной инструмент и оснастка,Флюсы паяльные,41.5,45.0,3.0,36.0,31.5,41.5
Строительные материалы,Ковры подкладочные,38.5,45.0,3.0,38.0,33.5,38.5
Бытовая техника,Мешки для пылесосов,35.5,35.0,3.0,39.0,34.5,35.5
Товары для малышей,Трубки газоотводные для новорожденных,36.5,45.0,3.0,36.0,31.5,36.5
Декор интерьера,Часы песочные,39.5,45.0,3.0,38.0,33.5,39.5
Рукоделие,Иглы для швейных машин,39.5,45.0,3.0,39.0,34.5,39.5
Периферия и аксессуары,Оптические приводы,34.5,35.0,3.0,32.0,27.5,34.5
Автоаксессуары и дополнительное оборудование,Вибропоглощающий материал для авто,36.5,45.0,3.0,36.0,31.5,36.5
Продукты,Эчпочмаки,4.5,4.5,3.0,25.0,20.5,4.5
Ручной инструмент и оснастка,Приборы для калибровки,38.5,45.0,3.0,32.0,27.5,38.5
Белье,Термокомбинезоны,44.5,45.0,3.0,44.0,39.5,44.5
Автоаксессуары и дополнительное оборудование,Конверторы для автомагнитол,36.5,45.0,3.0,40.0,35.5,36.5
Посуда и инвентарь,Стопки,39.5,45.0,3.0,39.0,34.5,39.5
Отделочные материалы,Паркет,38.5,45.0,3.0,32.0,27.5,38.5
Красота,Туши,42.5,45.0,3.0,46.0,41.5,42.5
Посуда и инвентарь,Подносы,39.5,45.0,3.0,42.0,37.5,39.5
Аксессуары для волос,Парики,44.5,45.0,3.0,44.0,39.5,44.5
Декор интерьера,Фитили для аромаламп,39.5,45.0,3.0,34.0,29.5,39.5
Товары для животных,Овоскопы,31.5,35.0,3.0,30.0,25.5,31.5
Посуда и инвентарь,Фруктовницы,39.5,45.0,3.0,38.0,33.5,39.5
Игрушки,Горки детские,38.5,45.0,3.0,32.0,27.5,38.5
Мебель садовая,Табуреты плетеные,36.5,45.0,3.0,29.0,24.5,36.5
Шторы и аксессуары,Шторы интерьерные,39.5,45.0,3.0,39.0,34.5,39.5
Книжная продукция и диски,Музыкальные диски,39.5,45.0,3.0,43.0,38.5,39.5
Красота,Зажимы для ресниц,42.5,45.0,3.0,41.0,36.5,42.5
Ювелирные украшения,Полудрагоценные камни и прочие вставки,43.0,45.0,3.0,39.0,38.0,43.0
Техника для красоты и здоровья,Устройства AirFloss,35.5,35.0,3.0,33.0,28.5,35.5
Декор интерьера,Брусчатка светодиодная,39.5,45.0,3.0,38.0,29.5,39.5
Автозапчасти,Патрубки автомобильные,36.5,45.0,3.0,36.0,31.5,36.5
Автохимия и автокосметика,Разбавители и растворители автомобильных красок,36.5,45.0,3.0,36.0,31.5,36.5
Хранение вещей,Корзинки,36.5,45.0,3.0,35.0,30.5,36.5
Автоаксессуары и дополнительное оборудование,Противоугонные системы,36.5,45.0,3.0,40.0,35.5,36.5
Аксессуары для электроники,Кронштейны для колонок,42.5,45.0,3.0,35.0,30.5,42.5
Мебель мягкая,Чехлы для кресел-мешков,36.5,45.0,3.0,27.0,22.5,36.5
Для праздника,Венки декоративные,42.5,45.0,3.0,42.0,37.5,42.5
Красота,Салфетки косметические,42.5,45.0,3.0,38.0,33.5,42.5
Бижутерия,Булавки для воротника,38.5,45.0,3.0,42.0,37.5,38.5
Электрика,Контроллеры для микроэлектроники,38.5,45.0,3.0,35.0,30.5,38.5
Электроинструмент и оборудование,Антипригарные средства для сварки,41.5,45.0,3.0,41.0,36.5,41.5
Автоаксессуары и дополнительное оборудование,Емкости для масел и горючего,36.5,45.0,3.0,25.0,20.5,36.5
Продукты,Вода питьевая,4.5,4.5,3.0,31.0,26.5,4.5
Здоровье,Штативы для капельниц,42.5,45.0,3.0,38.5,34.0,42.5
Автозапчасти,Радиаторы топливные,36.5,45.0,3.0,36.0,31.5,36.5
Красота,Красота,42.5,45.0,3.0,46.0,41.5,42.5
Красота,Блески,42.5,45.0,3.0,46.0,41.5,42.5
Посуда и инвентарь,Шумовки,39.5,45.0,3.0,40.0,35.5,39.5
Товары для отдыха и кемпинга,Брикеты угольные,38.5,45.0,3.0,38.0,33.5,38.5
Здоровье,Повязки на рану,42.5,45.0,3.0,44.0,39.5,42.5
Ювелирные украшения,Ювелирные колье,43.0,45.0,3.0,43.0,42.0,43.0
Спортивные аксессуары,Нарукавники,39.5,45.0,3.0,38.0,33.5,39.5
Фарма,Эндокринологические препараты,3.0,3.0,3.0,3.0,3.0,3.0
Строительные материалы,Колпаки для забора,38.5,45.0,3.0,38.0,33.5,38.5
Красота,Тональные кремы,42.5,45.0,3.0,46.0,41.5,42.5
Автоаксессуары и дополнительное оборудование,Украшения для автомобиля,36.5,45.0,3.0,40.0,35.5,36.5
Товары для взрослых,Руки для фистинга,39.5,45.0,3.0,41.0,36.5,39.5
Товары для взрослых,Настольные игры эротик,39.5,45.0,3.0,43.0,38.5,39.5
Все для садоводства,Гроубоксы,39.5,45.0,3.0,38.0,37.0,39.5
Товары для малышей,Слинг-шарфы,36.5,45.0,3.0,36.0,31.5,36.5
Автоаксессуары и дополнительное оборудование,Фиксаторы пружины,36.5,45.0,3.0,36.0,31.5,36.5
Аксессуары для электроники,Запчасти для холодильников,38.5,45.0,3.0,41.0,36.5,38.5
Сантехника,Клапаны вентиляционные,37.5,45.0,3.0,32.0,27.5,37.5
Спортивный товар,Лыжероллеры,37.5,45.0,3.0,41.0,36.5,37.5
Товары для малышей,Бамперы для колясок,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Заслонки дополнительной подачи воздуха,36.5,45.0,3.0,40.0,35.5,36.5
Посуда и инвентарь,Сырницы,39.5,45.0,3.0,41.0,36.5,39.5
Ручной инструмент и оснастка,Труборезы ручные,41.5,45.0,3.0,45.0,40.5,41.5
Спортивные аксессуары,Нагрудники для лошадей,39.5,45.0,3.0,39.0,34.5,39.5
Товары для отдыха и кемпинга,Дрова,38.5,45.0,3.0,33.0,28.5,38.5
Спортивный товар,Ледорубы спортивные,37.5,45.0,3.0,37.0,32.5,37.5
Здоровье,Инвалидные коляски механические,42.5,45.0,3.0,42.0,37.5,42.5
Строительные материалы,Поролон,38.5,45.0,3.0,37.5,33.0,38.5
Профессиональные музыкальные инструменты,Шейкеры музыкальные,38.5,45.0,3.0,42.0,37.5,38.5
Мебель корпусная и мебель для хранения,Полки детские,36.5,45.0,3.0,40.0,35.5,36.5
Аксессуары,Сумки,44.5,45.0,3.0,48.0,43.5,44.5
Игрушки,Юла,38.5,45.0,3.0,39.0,34.5,38.5
Для праздника,Топперы декоративные,42.5,45.0,3.0,46.0,41.5,42.5
Для праздника,Бумага подарочная,42.5,45.0,3.0,46.0,41.5,42.5
Автозапчасти,Турбонагнетатели,36.5,45.0,3.0,40.0,35.5,36.5
Спортивный товар,Малечницы,37.5,45.0,3.0,37.0,32.5,37.5
Бытовая техника,Индикаторы уровня жидкости,35.5,35.0,3.0,33.0,28.5,35.5
Все для садоводства,Системы обогрева грунта,39.5,45.0,3.0,39.5,38.5,39.5
Товары для животных,Когтеточки,31.5,35.0,3.0,32.0,27.5,31.5
Посуда и инвентарь,Подставки для коптильни,39.5,45.0,3.0,37.0,32.5,39.5
Обувь,Галоши,44.5,45.0,3.0,38.0,33.5,44.5
Ручной инструмент и оснастка,Скобы для строительного степлера,41.5,45.0,3.0,40.0,35.5,41.5
Аксессуары для малышей,Бейсболки для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Здоровье,Измерители жира,42.5,45.0,3.0,34.5,30.0,42.5
Отделочные материалы,Добавки для жидких обоев,38.5,45.0,3.0,41.5,37.0,38.5
Готовая еда,Завтраки,4.5,4.5,3.0,38.0,34.5,4.5
Ноутбуки и компьютеры,Ноутбуки,26.5,35.0,3.0,28.0,23.5,26.5
Канцелярские товары,Клей для слаймов,39.5,45.0,3.0,43.0,38.5,39.5
Автоаксессуары и дополнительное оборудование,Боковые фонари указателя поворота,36.5,45.0,3.0,40.0,35.5,36.5
Товары для животных,Попоны послеоперационные,31.5,35.0,3.0,31.0,26.5,31.5
Товары для животных,Хлопья для животных,31.5,35.0,3.0,31.0,30.5,31.5
Бытовая техника,Ножевые блоки,35.5,35.0,3.0,33.0,28.5,35.5
Аксессуары для обуви,Воск для обуви,44.5,45.0,3.0,39.0,34.5,44.5
Автозапчасти,Зеркала автомобильные,36.5,45.0,3.0,40.0,35.5,36.5
Спортивная одежда,Гидрошорты,44.5,45.0,3.0,44.0,39.5,44.5
Автоаксессуары и дополнительное оборудование,Регуляторы напряжения,36.5,45.0,3.0,40.0,35.5,36.5
Мебель офисная и торговое оборудование,Штанги для одежды,36.5,45.0,3.0,36.0,31.5,36.5
Мототовары,Панели приборные для мототехники,36.5,45.0,3.0,40.0,35.5,36.5
Здоровье,Перчатки медицинские,42.5,45.0,3.0,45.0,40.5,42.5
Хозяйственные товары,Бумажные салфетки,39.5,45.0,3.0,34.0,29.5,39.5
Красота,Эликсиры,42.5,45.0,3.0,46.0,41.5,42.5
Мебель офисная и торговое оборудование,Пистолеты-маркираторы,36.5,45.0,3.0,40.0,35.5,36.5
Здоровье,Серьги медицинские,42.5,45.0,3.0,41.0,36.5,42.5
Аксессуары для электроники,Метеостанции,42.5,45.0,3.0,35.0,30.5,42.5
Для праздника,Свечи для торта,42.5,45.0,3.0,30.0,25.5,42.5
Продукты,Овощи свежие,4.5,4.5,3.0,30.0,25.5,4.5
Мебель корпусная и мебель для хранения,Ящики выдвижные,36.5,45.0,3.0,32.0,27.5,36.5
Аксессуары для волос,Венки для волос,44.5,45.0,3.0,44.0,39.5,44.5
Электрика,Микросхемы,38.5,45.0,3.0,35.0,30.5,38.5
Бытовая техника,Электрощетки,35.5,35.0,3.0,31.0,26.5,35.5
Игрушки,Домики для детей,38.5,45.0,3.0,32.0,27.5,38.5
Бытовая химия,Жидкости для уборки,39.5,45.0,3.0,33.0,28.5,39.5
Аксессуары для электроники,Лабораторные источники питания,42.5,45.0,3.0,41.0,36.5,42.5
Спецодежда и СИЗы,Костюмы рабочие,44.5,45.0,3.0,48.0,43.5,44.5
Мебель малых форм,Столы обеденные,36.5,45.0,3.0,31.0,26.5,36.5
Канцелярские товары,Калька,39.5,45.0,3.0,39.0,34.5,39.5
Декор интерьера,Колокольчики придверные,39.5,45.0,3.0,34.0,29.5,39.5
Здоровье,Контактные среды,42.5,45.0,3.0,39.0,34.5,42.5
Мототовары,Мотоботы,36.5,45.0,3.0,36.0,31.5,36.5
Аксессуары для электроники,Брелоки-локаторы,42.5,45.0,3.0,41.0,36.5,42.5
Продукты,Мака перуанская,4.5,4.5,3.0,35.0,30.5,4.5
Здоровье,Компрессионные жилеты,42.5,45.0,3.0,37.0,32.5,42.5
Товары для животных,Аквариумы,31.5,35.0,3.0,35.0,30.5,31.5
Аксессуары,Футляры для зарядного кабеля,44.5,45.0,3.0,48.0,43.5,44.5
Автозапчасти,Картеры двигателя,36.5,45.0,3.0,36.0,31.5,36.5
Книжная продукция и диски,Книги,39.5,45.0,3.0,43.0,38.5,39.5
Профессиональные музыкальные инструменты,Ударные установки,38.5,45.0,3.0,39.0,34.5,38.5
Сантехника,Теплые полы,37.5,45.0,3.0,38.0,33.5,37.5
Мебель офисная и торговое оборудование,Сортировщики монет,36.5,45.0,3.0,36.0,31.5,36.5
Одежда для малышей,Парки для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Аксессуары для электроники,Антенны для радиостанций,39.5,45.0,3.0,32.0,27.5,39.5
Красота,Прокладки для груди,42.5,45.0,3.0,42.0,37.5,42.5
Спортивный товар,Моноколеса,40.5,45.0,3.0,43.5,39.0,40.5
Освещение,Торшеры напольные,39.5,45.0,3.0,39.0,34.5,39.5
Товары для животных,Импеллеры для аквариумного фильтра,31.5,35.0,3.0,31.0,26.5,31.5
Спортивный товар,Каны рыболовные,37.5,45.0,3.0,37.0,32.5,37.5
Все для садоводства,Дренажи,39.5,45.0,3.0,29.5,28.5,39.5
Техника для кухни,Омлетницы,34.5,35.0,3.0,32.0,27.5,34.5
Товары для взрослых,Эрекционные кольца,39.5,45.0,3.0,43.0,38.5,39.5
Мебель офисная и торговое оборудование,Стулья офисные,36.5,45.0,3.0,36.0,31.5,36.5
Аксессуары для электроники,Фреоны бытовые,42.5,45.0,3.0,37.0,32.5,42.5
Посуда и инвентарь,Пиалы,39.5,45.0,3.0,39.0,34.5,39.5
Мебель мягкая,Кресла-мешки,36.5,45.0,3.0,33.0,28.5,36.5
Мебель офисная и торговое оборудование,Детекторы валют,36.5,45.0,3.0,40.0,35.5,36.5
Продукты,Киноа,4.5,4.5,3.0,35.0,30.5,4.5
Автозапчасти,Статоры генератора,36.5,45.0,3.0,40.0,35.5,36.5
Аксессуары,Футляры для очков,44.5,45.0,3.0,48.0,43.5,44.5
Продукты,Консервированные готовые супы,4.5,4.5,3.0,32.0,27.5,4.5
Товары для животных,Велоспрингеры,31.5,35.0,3.0,35.0,30.5,31.5
Спецодежда и СИЗы,Наколенники рабочие,38.5,45.0,3.0,39.0,34.5,38.5
Рукоделие,Ножницы для рукоделия,39.5,45.0,3.0,39.0,34.5,39.5
Автоэлектроника,Парктроники,36.5,45.0,3.0,40.0,35.5,36.5
Автохимия и автокосметика,Очистители автостекол,36.5,45.0,3.0,40.0,35.5,36.5
Шины и диски,Шины для сельхозтехники,29.5,35.0,3.0,18.0,17.0,29.5
Красота,Картриджи для тату машинки,42.5,45.0,3.0,45.0,40.5,42.5
Автозапчасти,Прокладки крышки распределительного механизма,36.5,45.0,3.0,40.0,35.5,36.5
Белье,Неглиже,44.5,45.0,3.0,48.0,43.5,44.5
Головные уборы,Балаклавы,44.5,45.0,3.0,48.0,43.5,44.5
Аксессуары для электроники,Чехлы для флешек,44.5,45.0,3.0,48.0,43.5,44.5
Продукты,Консервы фруктовые,4.5,4.5,3.0,35.0,30.5,4.5
Садовая техника,Дровоколы электрические,38.5,45.0,3.0,39.0,34.5,38.5
Товары для отдыха и кемпинга,Товары для отдыха и кемпинга,38.5,45.0,3.0,42.0,37.5,38.5
Автоаксессуары и дополнительное оборудование,Распределители зажигания,36.5,45.0,3.0,40.0,35.5,36.5
Спортивный товар,Велокамеры,37.5,45.0,3.0,41.0,36.5,37.5
Одежда для малышей,Тренчкоты для малышей,44.5,45.0,3.0,44.0,39.5,44.5
Декор интерьера,Яйца сувенирные,39.5,45.0,3.0,43.0,38.5,39.5
Мебель малых форм,Декоративные аксессуары для мебели,36.5,45.0,3.0,29.0,24.5,36.5
Спортивный товар,Подушки для путешествий,37.5,45.0,3.0,41.0,36.5,37.5
Продукты,Заправки салатные,4.5,4.5,3.0,30.0,25.5,4.5
Товары для отдыха и кемпинга,Печи и парогенераторы для бани,38.5,45.0,3.0,33.0,28.5,38.5
Лотереи,Лотереи,10.0,10.0,3.0,10.0,10.0,10.0
Рукоделие,Мыльные основы,39.5,45.0,3.0,35.0,30.5,39.5
Масла и технические жидкости,Масла и технические жидкости,39.5,45.0,3.0,40.0,35.5,39.5
Товары для взрослых,Анальные бусы,39.5,45.0,3.0,43.0,38.5,39.5
Сантехника,Фильтры для слива,37.5,45.0,3.0,27.0,22.5,37.5
Здоровье,Повязки магнитные,42.5,45.0,3.0,34.5,30.0,42.5
Товары для взрослых,Насосы для секс кукол,39.5,45.0,3.0,34.0,29.5,39.5
Автохимия и автокосметика,Отвердители для автомобильных красок,36.5,45.0,3.0,36.0,31.5,36.5
Спортивный товар,Тумбы для запрыгиваний,37.5,45.0,3.0,38.0,33.5,37.5
Красота,Наборы для наращивания ресниц,42.5,45.0,3.0,44.0,39.5,42.5
Автозапчасти,Корпуса ключей зажигания,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Болты вариатора,36.5,45.0,3.0,36.0,31.5,36.5
Отделочные материалы,Противовзломная фурнитура,38.5,45.0,3.0,33.0,28.5,38.5
Электроинструмент и оборудование,Пилы строительные,41.5,45.0,3.0,40.0,35.5,41.5
Товары для взрослых,Неглиже эротик,39.5,45.0,3.0,43.0,38.5,39.5
Спортивный товар,Дальномеры спортивные,37.5,45.0,3.0,41.0,36.5,37.5
Спортивные аксессуары,Другие принадлежности для рыбалки,39.5,45.0,3.0,39.0,34.5,39.5
Продукты,Жиры пищевые,4.5,4.5,3.0,32.0,27.5,4.5
