category,subject,commission_cc_pct,commission_dbs_pct,commission_edbs_pct,commission_fbs_pct,commission_fbw_pct,commission_booking_pct
Продукты,Сбитень,4.5,4.5,3.0,28.0,23.5,4.5
Техника для кухни,Кухонные комбайны,34.5,35.0,3.0,34.0,29.5,34.5
Товары для отдыха и кемпинга,Аксессуары для банных печей,38.5,45.0,3.0,34.0,29.5,38.5
Продукты,Грибы свежие,4.5,4.5,3.0,30.0,25.5,4.5
Садовые инструменты и полив,Ножницы садовые,39.5,45.0,3.0,43.0,38.5,39.5
Товары для взрослых,Благовония эротик,39.5,45.0,3.0,33.0,28.5,39.5
Красота,Косметика для ванн,42.5,45.0,3.0,46.0,41.5,42.5
Аксессуары для электроники,Подставки для электроники,44.5,45.0,3.0,37.0,32.5,44.5
Спортивный товар,Тиски спортивные,37.5,45.0,3.0,37.0,32.5,37.5
Сантехника,Заглушки вентиляционные,37.5,45.0,3.0,37.0,32.5,37.5
Аксессуары для электроники,Гели для защитных стекол,44.5,45.0,3.0,33.0,28.5,44.5
Сантехника,Фланцы вентиляционные,37.5,45.0,3.0,37.0,32.5,37.5
Мототовары,Экипировка для снегохода,36.5,45.0,3.0,31.0,26.5,36.5
Спортивное питание и косметика,Предтренировочные комплексы,35.5,45.0,3.0,38.0,33.5,35.5
Хранение вещей,Чехлы для одежды,36.5,45.0,3.0,40.0,35.5,36.5
Детское питание,Вода детская,4.5,4.5,3.0,24.0,19.5,4.5
Сантехника,Запчасти для газовой колонки,37.5,45.0,3.0,41.0,36.5,37.5
Строительные материалы,Уплотнители межвенцовые,38.5,45.0,3.0,32.0,27.5,38.5
Мебель офисная и торговое оборудование,Прочая мебельная фурнитура,36.5,45.0,3.0,36.0,31.5,36.5
Посуда и инвентарь,Органайзеры на мойку,39.5,45.0,3.0,41.0,36.5,39.5
Продукты,Джемы,4.5,4.5,3.0,30.0,25.5,4.5
Посуда и инвентарь,Палочки для леденцов,39.5,45.0,3.0,34.0,29.5,39.5
Спортивный товар,Наконечники для палок,37.5,45.0,3.0,37.0,32.5,37.5
Товары для животных,Спреи лечебные для животных,31.5,35.0,3.0,31.0,26.5,31.5
Периферия и аксессуары,Комплекты клавиатур и мышей,34.5,35.0,3.0,32.0,27.5,34.5
Здоровье,Детские гели для десен,42.5,45.0,3.0,39.0,34.5,42.5
Канцелярские товары,Уголь художественный,39.5,45.0,3.0,38.0,33.5,39.5
Спортивная одежда,Свитшоты спортивные,44.5,45.0,3.0,48.0,43.5,44.5
Спортивный товар,Направляющие под каретку,37.5,45.0,3.0,32.0,27.5,37.5
Товары для животных,Шлемы для птиц,31.5,35.0,3.0,35.0,30.5,31.5
Аксессуары,Оправа,44.5,45.0,3.0,48.0,43.5,44.5
Продукты,Сахарозаменители,4.5,4.5,3.0,34.0,29.5,4.5
Спортивные аксессуары,Корпуса для гироскутеров,39.5,45.0,3.0,33.0,28.5,39.5
Товары для малышей,Матрасы для переносок,36.5,45.0,3.0,40.0,35.5,36.5
Посуда и инвентарь,Сетки пищевые,39.5,45.0,3.0,39.0,34.5,39.5
Фото и Видеотехника,Термобумага для фотоаппаратов,38.5,45.0,3.0,41.0,36.5,38.5
Спортивный товар,Барьеры спортивные,37.5,45.0,3.0,34.0,29.5,37.5
Красота,Вакуумные банки,42.5,45.0,3.0,42.0,37.5,42.5
Товары для взрослых,Портупеи эротик,39.5,45.0,3.0,43.0,38.5,39.5
Спортивный товар,Удилища,37.5,45.0,3.0,41.0,36.5,37.5
Продукты,Орехи,4.5,4.5,3.0,35.0,30.5,4.5
Спортивные аксессуары,Полы для палаток,39.5,45.0,3.0,43.0,38.5,39.5
Одежда для малышей,Косухи для малышей,44.5,45.0,3.0,44.0,39.5,44.5
Текстиль для дома,Гамаки для ног,39.5,45.0,3.0,43.0,38.5,39.5
Спортивная одежда,Термокомплекты спортивные,44.5,45.0,3.0,46.0,41.5,44.5
Игрушки,Игрушки интерактивные,38.5,45.0,3.0,42.0,37.5,38.5
Автоаксессуары и дополнительное оборудование,Накладки для проема стеклоочистителей,36.5,45.0,3.0,35.0,30.5,36.5
